# ISO 639 language table used by Nmkoder to name audio and subtitle tracks.
# Generated by .github/scripts/gen-iso639.py - edit that, not this file.
#
# Sources: ISO 639-3 register via pycountry 26.2.16, native names (autonyms)
# via langcodes/language_data 3.5.1, which draws on Unicode CLDR.
#
# The family column is intentionally blank: no register maps languages to families,
# and Aliases.cs stores the field without ever reading it. Kept for column layout.
Family,English Name,Native Name,ISO 639-1,ISO 639-2/T,ISO 639-2/B
,Dusun Malang,Dusun Malang,,duq,
,Dusun Witu,Dusun Witu,,duw,
,Dutch Sign Language,Dutch Sign Language,,dse,
,Dutton World Speedwords,Dutton World Speedwords,,dws,
,Duungooma,Duungooma,,dux,
,Duupa,Duupa,,dae,
,Duvle,Duvle,,duv,
,Duwai,Duwai,,dbp,
,Duwet,Duwet,,gve,
,Dũya,Dũya,,ldb,
,Dwang,Dwang,,nnu,
,Dyaberdyaber,Dyaberdyaber,,dyb,
,Dyan,Dyan,,dya,
,Dyangadi,Dyangadi,,dyn,
,Dyarim,Unknown language [dyr],,dyr,
,Dyirbal,Dyirbal,,dbl,
,Dyugun,Dyugun,,dyd,
,Dyula,Dyula,,dyu,
,Dza,Dza,,jen,
,Dzalakha,Dzalakha,,dzl,
,Dzando,Dzando,,dzn,
,Dzao Min,Dzao Min,,bpn,
,Dzùùngoo,Dzùùngoo,,dnn,
,Dâw,Dâw,,kwa,
,E,E,,eee,
,E'ma Buyang,E'ma Buyang,,yzg,
,E'ñapa Woromaipu,E'ñapa Woromaipu,,pbh,
,Early Tripuri,Early Tripuri,,xtr,
,East Ambae,East Ambae,,omb,
,East Berawan,East Berawan,,zbe,
,East Damar,East Damar,,dmr,
,East Futuna,East Futuna,,fud,
,East Kewa,East Kewa,,kjs,
,East Limba,East Limba,,lma,
,East Makian,East Makian,,mky,
,East Masela,East Masela,,vme,
,East Nyala,East Nyala,,nle,
,East Tarangan,East Tarangan,,tre,
,East Yugur,East Yugur,,yuy,
,Eastern Abnaki,Eastern Abnaki,,aaq,
,Eastern Acipa,Eastern Acipa,,acp,
,Eastern Apurímac Quechua,Eastern Apurímac Quechua,,qve,
,Eastern Arrernte,Eastern Arrernte,,aer,
,Eastern Balochi,Eastern Balochi,,bgp,
,Eastern Bolivian Guaraní,Eastern Bolivian Guaraní,,gui,
,Eastern Bontok,Eastern Bontok,,ebk,
,Eastern Bru,Eastern Bru,,bru,
,Eastern Canadian Inuktitut,Inuktitut,,ike,
,Eastern Cham,Eastern Cham,,cjm,
,Eastern Durango Nahuatl,Eastern Durango Nahuatl,,azd,
,Eastern Egyptian Bedawi Arabic,Eastern Egyptian Bedawi Arabic,,avl,
,Eastern Frisian,Eastern Frisian,,frs,
,Eastern Gorkha Tamang,Eastern Gorkha Tamang,,tge,
,Eastern Highland Chatino,Eastern Highland Chatino,,cly,
,Eastern Highland Otomi,Eastern Highland Otomi,,otm,
,Eastern Hongshuihe Zhuang,Eastern Hongshuihe Zhuang,,zeh,
,Eastern Huasteca Nahuatl,Eastern Huasteca Nahuatl,,nhe,
,Eastern Huishui Hmong,Eastern Huishui Hmong,,hme,
,Eastern Karaboro,Eastern Karaboro,,xrb,
,Eastern Katu,Eastern Katu,,ktv,
,Eastern Kayah,Eastern Kayah,,eky,
,Eastern Keres,Eastern Keres,,kee,
,Eastern Khumi Chin,Eastern Khumi Chin,,cek,
,Eastern Krahn,Eastern Krahn,,kqo,
,Eastern Lalu,Eastern Lalu,,yit,
,Eastern Lawa,Eastern Lawa,,lwl,
,Eastern Magar,Eastern Magar,,mgp,
,Eastern Maninkakan,Mandingo,,emk,
,Eastern Mari,Mari,,mhr,
,Eastern Maroon Creole,Eastern Maroon Creole,,djk,
,Eastern Meohang,Eastern Meohang,,emg,
,Eastern Minyag,Eastern Minyag,,emq,
,Eastern Mnong,Eastern Mnong,,mng,
,Eastern Muria,Eastern Muria,,emu,
,Eastern Ngad'a,Eastern Ngad'a,,nea,
,Eastern Nisu,Eastern Nisu,,nos,
,Eastern Ojibwa,Ojibwa,,ojg,
,Eastern Oromo,Eastern Oromo,,hae,
,Eastern Parbate Kham,Eastern Parbate Kham,,kif,
,Eastern Penan,Eastern Penan,,pez,
,Eastern Pomo,Eastern Pomo,,peb,
,Eastern Qiandong Miao,Eastern Qiandong Miao,,hmq,
,Eastern Subanen,Eastern Subanen,,sfe,
,Eastern Tamang,Eastern Tamang,,taj,
,Eastern Tawbuid,Eastern Tawbuid,,bnj,
,Eastern Xiangxi Miao,Eastern Xiangxi Miao,,muq,
,Eastern Xwla Gbe,Eastern Xwla Gbe,,gbx,
,Eastern Yiddish,ייִדיש,,ydd,
,Ebira,Ebira,,igb,
,Eblan,Eblan,,xeb,
,Ebrié,Ebrié,,ebr,
,Ebughu,Ebughu,,ebg,
,Ecuadorian Sign Language,Ecuadorian Sign Language,,ecs,
,Ede Cabe,Ede Cabe,,cbj,
,Ede Ica,Ede Ica,,ica,
,Ede Idaca,Ede Idaca,,idd,
,Ede Ije,Ede Ije,,ijj,
,Edera Awyu,Edera Awyu,,awy,
,Edolo,Edolo,,etr,
,Edomite,Edomite,,xdm,
,Edopi,Edopi,,dbf,
,Efai,Efai,,efa,
,Efe,Efe,,efe,
,Efik,Efik,,efi,
,Efutop,Efutop,,ofu,
,Ega,Ega,,ega,
,Eggon,Eggon,,ego,
,Egypt Sign Language,Egypt Sign Language,,esl,
,Egyptian (Ancient),Ancient Egyptian,,egy,
,Egyptian Arabic,Egyptian Arabic,,arz,
,Ehueun,Ehueun,,ehu,
,Eipomek,Eipomek,,eip,
,Eitiep,Eitiep,,eit,
,Ejagham,Ejagham,,etu,
,Ejamat,Ejamat,,eja,
,Ekai Chin,Ekai Chin,,cey,
,Ekajuk,Ekajuk,,eka,
,Ekari,Ekari,,ekg,
,Eki,Eki,,eki,
,Ekit,Ekit,,eke,
,Ekpeye,Ekpeye,,ekp,
,El Alto Zapotec,El Alto Zapotec,,zpp,
,El Hugeirat,El Hugeirat,,elh,
,El Molo,El Molo,,elo,
,El Nayar Cora,El Nayar Cora,,crn,
,Elamite,Elamite,,elx,
,Eleme,Eleme,,elm,
,Elepi,Elepi,,ele,
,Elfdalian,Elfdalian,,ovd,
,Elip,Elip,,ekm,
,Elkei,Elkei,,elk,
,Elotepec Zapotec,Elotepec Zapotec,,zte,
,Eloyi,Eloyi,,afo,
,Elseng,Elseng,,mrf,
,Elu,Elu,,elu,
,Elymian,Elymian,,xly,
,Emae,Emae,,mmw,
,Emai-Iuleha-Ora,Emai-Iuleha-Ora,,ema,
,Eman,Eman,,emn,
,Embaloh,Embaloh,,emb,
,Emberá-Baudó,Emberá-Baudó,,bdc,
,Emberá-Catío,Emberá-Catío,,cto,
,Emberá-Chamí,Emberá-Chamí,,cmi,
,Emberá-Tadó,Emberá-Tadó,,tdc,
,Embu,Kĩembu,,ebu,
,Emerillon,Emerillon,,eme,
,Emilian,Emilian,,egl,
,Emplawas,Emplawas,,emw,
,Emumu,Emumu,,enr,
,En,En,,enc,
,Enawené-Nawé,Enawené-Nawé,,unk,
,Ende,Ende,,end,
,Enga,Enga,,enq,
,Engdewu,Engdewu,,ngr,
,Engenni,Engenni,,enn,
,Enggano,Enggano,,eno,
,Enlhet,Enlhet,,enl,
,Enrekang,Enrekang,,ptt,
,Enu,Enu,,enu,
,Enwan (Akwa Ibom State),Enwan (Akwa Ibom State),,enw,
,Enwan (Edo State),Enwan (Edu State),,env,
,Enxet,Enxet,,enx,
,Enya,Enya,,gey,
,Epena,Epena,,sja,
,Epi-Olmec,Epi-Olmec,,xep,
,Epie,Epie,,epi,
,Epigraphic Mayan,Epigraphic Mayan,,emy,
,Eravallan,Eravallan,,era,
,Erave,Erave,,kjy,
,Ere,Ere,,twp,
,Eritai,Eritai,,ert,
,Erokwanas,Erokwanas,,erw,
,Erre,Erre,,err,
,Erromintxela,Erromintxela,,emx,
,Ersu,Ersu,,ers,
,Eruwa,Eruwa,,erh,
,Erzya,эрзянь кель,,myv,
,Esan,Esan,,ish,
,Ese,Ese,,mcq,
,Ese Ejja,Ese Ejja,,ese,
,Eshtehardi,Eshtehardi,,esh,
,Esimbi,Esimbi,,ags,
,Eskayan,Eskayan,,esy,
,Esselen,Esselen,,esq,
,Estado de México Otomi,Estado de México Otomi,,ots,
,Estonian Sign Language,Estonian Sign Language,,eso,
,Esuma,Esuma,,esm,
,Etchemin,Etchemin,,etc,
,Etebi,Etebi,,etb,
,Eten,Eten,,etx,
,Eteocretan,Eteocretan,,ecr,
,Eteocypriot,Eteocypriot,,ecy,
,Ethiopian Sign Language,Ethiopian Sign Language,,eth,
,Etkywan,Etkywan,,ich,
,Eton (Cameroon),Eton (Cameroon),,eto,
,Eton (Vanuatu),Eton (Vanuatu),,etn,
,Etruscan,Etruscan,,ett,
,Etulo,Etulo,,utr,
,Eudeve,Unknown language [eud],,eud,
,Evant,Evant,,bzz,
,Even,Even,,eve,
,Evenki,Evenki,,evn,
,Eviya,Eviya,,gev,
,Ewage-Notu,Ewage-Notu,,nou,
,Ewondo,ewondo,,ewo,
,Extremaduran,Extremaduran,,ext,
,Eyak,Eyak,,eya,
,Ezaa,Ezaa,,eza,
,Fa d'Ambu,Fa d'Ambu,,fab,
,Fagani,Fagani,,faf,
,Faifi,Faifi,,fif,
,Faire Atta,Faire Atta,,azt,
,Faita,Faita,,faj,
,Faiwol,Faiwol,,fai,
,Fala,Fala,,fax,
,Falam Chin,Falam Chin,,cfm,
,Fali,Fali,,fli,
,Faliscan,Faliscan,,xfa,
,Fam,Fam,,fam,
,Fanagalo,Fanagalo,,fng,
,Fanamaket,Fanamaket,,bjp,
,Fanbak,Fanbak,,fnb,
,Fang (Cameroon),Fang (Cameroon),,fak,
,Fang (Equatorial Guinea),Fang,,fan,
,Fania,Fania,,fni,
,Fanti,Akan,,fat,
,Far Western Muria,Far Western Muria,,fmu,
,Farefare,Frafra,,gur,
,Fas,Fas,,fqs,
,Fasu,Fasu,,faa,
,Fataleka,Fataleka,,far,
,Fataluku,Fataluku,,ddg,
,Fayu,Fayu,,fau,
,Fe'fe',Fe'fe',,fmp,
,Fembe,Fembe,,agl,
,Fernando Po Creole English,Fernando Po Creole English,,fpe,
,Feroge,Feroge,,fer,
,Fiji Hindi,Fiji Hindi,,hif,
,Filipino,Filipino,,fil,
,Filomena Mata-Coahuitlán Totonac,Filomena Mata-Coahuitlán Totonac,,tlp,
,Finland-Swedish Sign Language,Finland-Swedish Sign Language,,fss,
,Finnish Sign Language,Finnish Sign Language,,fse,
,Finongan,Finongan,,fag,
,Fipa,Fipa,,fip,
,Firan,Firan,,fir,
,Fiwaga,Fiwaga,,fiw,
,Flaaitaal,Flaaitaal,,fly,
,Flinders Island,Flinders Island,,fln,
,Foau,Foau,,flh,
,Foi,Foi,,foi,
,Foia Foia,Foia Foia,,ffi,
,Folopa,Folopa,,ppo,
,Foma,Foma,,fom,
,Fon,Fon,,fon,
,Fongoro,Fongoro,,fgr,
,Foodo,Foodo,,fod,
,Forak,Forak,,frq,
,Fordata,Fordata,,frd,
,Fore,Fore,,for,
,Forest Enets,Forest Enets,,enf,
,Fortsenal,Fortsenal,,frt,
,Francisco León Zoque,Francisco León Zoque,,zos,
,Frankish,Frankish,,frk,
,French Sign Language,French Sign Language,,fsl,
,Friulian,furlan,,fur,
,Fuliiru,Fuliiru,,flr,
,Fulniô,Fulniô,,fun,
,Fum,Fum,,fum,
,Fungwa,Fungwa,,ula,
,Fur,Fur,,fvr,
,Furu,Furu,,fuu,
,Futuna-Aniwa,Futuna-Aniwa,,fut,
,Fuyug,Fuyug,,fuy,
,Fwe,Fwe,,fwe,
,Fwâi,Fwâi,,fwa,
,Fyam,Fyam,,pym,
,Fyer,Fyer,,fie,
,Ga,Gã,,gaa,
,Ga'anda,Ga'anda,,gqa,
,Ga'dang,Ga'dang,,gdg,
,Gaa,Gaa,,ttb,
,Gaam,Gaam,,tbi,
,Gabi-Gabi,Gabi-Gabi,,gbw,
,Gabri,Gabri,,gab,
,Gabrielino-Fernandeño,Gabrielino-Fernandeño,,xgf,
,Gadang,Gadang,,gdk,
,Gaddang,Gaddang,,gad,
,Gaddi,Gaddi,,gbk,
,Gade,Gade,,ged,
,Gade Lohar,Gade Lohar,,gda,
,Gadjerawang,Gadjerawang,,gdh,
,Gadsup,Gadsup,,gaj,
,Gafat,Gafat,,gft,
,Gagadu,Gagadu,,gbu,
,Gagauz,Gagauz,,gag,
,Gagnoa Bété,Gagnoa Bété,,btg,
,Gagu,Gagu,,ggu,
,Gahri,Gahri,,bfu,
,Gaikundi,Gaikundi,,gbf,
,Gail,Gail,,gic,
,Gaina,Gaina,,gcn,
,Gal,Gal,,gap,
,Galambu,Galambu,,glo,
,Galatian,Galatian,,xga,
,Galela,Galela,,gbi,
,Galeya,Galeya,,gar,
,Galibi Carib,Carib,,car,
,Galice,Galice,,gce,
,Galindan,Galindan,,xgl,
,Gallurese Sardinian,Gallurese Sardinian,,sdn,
,Galo,Galo,,adl,
,Galolen,Galolen,,gal,
,Gamale Kham,Gamale Kham,,kgj,
,Gambera,Gambera,,gma,
,Gambian Wolof,Gambian Wolof,,wof,
,Gamilaraay,Gamilaraay,,kld,
,Gamit,Gamit,,gbl,
,Gamkonora,Gamkonora,,gak,
,Gamo,Gamo,,gmv,
,Gamo-Ningi,Gamo-Ningi,,bte,
,Gan Chinese,Gan Chinese,,gan,
,Gana,Gana,,gnq,
,Ganang,Ganang,,gne,
,Gane,Gane,,gzn,
,Ganggalida,Ganggalida,,gcd,
,Ganglau,Ganglau,,ggl,
,Gangte,Gangte,,gnb,
,Gangulu,Gangulu,,gnl,
,Gants,Gants,,gao,
,Ganza,Ganza,,gza,
,Ganzi,Ganzi,,gnz,
,Gao,Gao,,gga,
,Gapapaiwa,Gapapaiwa,,pwg,
,Garhwali,Garhwali,,gbm,
,Garifuna,Garifuna,,cab,
,Garig-Ilgar,Garig-Ilgar,,ilg,
,Garingbal,Garingbal,,xgi,
,Garlali,Garlali,,gll,
,Garo,Garo,,grt,
,Garre,Garre,,gex,
,Garrwa,Garrwa,,wrk,
,Garus,Garus,,gyb,
,Garza,Garza,,xgr,
,Gata',Gata',,gaq,
,Gavak,Gavak,,dmc,
,Gavar,Gavar,,gou,
,Gavião Do Jiparaná,Gavião Do Jiparaná,,gvo,
,Gawar-Bati,Gawar-Bati,,gwt,
,Gawri,Gawri,,gwc,
,Gawwada,Gawwada,,gwd,
,Gayil,Gayil,,gyl,
,Gayo,Gayo,,gay,
,Gazi,Gazi,,gzi,
,Gaɓogbo,Gaɓogbo,,gie,
,Gbagyi,Gbagyi,,gbr,
,Gbanu,Gbanu,,gbv,
,Gbanziri,Gbanziri,,gbg,
,Gbari,Gbari,,gby,
,Gbaya (Central African Republic),Gbaya,,gba,
,Gbaya (Sudan),Gbaya (Sudan),,krs,
,Gbaya-Bossangoa,Gbaya-Bossangoa,,gbp,
,Gbaya-Bozoum,Gbaya-Bozoum,,gbq,
,Gbaya-Mbodomo,Gbaya-Mbodomo,,gmm,
,Gbayi,Gbayi,,gyg,
,Gbesi Gbe,Gbesi Gbe,,gbs,
,Gbii,Gbii,,ggb,
,Gbin,Gbin,,xgb,
,Gbiri-Niragu,Gbiri-Niragu,,grh,
,Gboloo Grebo,Gboloo Grebo,,gec,
,Ge,Ge,,hmj,
,Geba Karen,Geba Karen,,kvq,
,Gebe,Gebe,,gei,
,Gedaged,Gedaged,,gdd,
,Gedeo,Gedeo,,drs,
,Geez,Geez,,gez,
,Geji,Geji,,gyz,
,Geko Karen,Geko Karen,,ghk,
,Gela,Gela,,nlg,
,Geme,Geme,,geq,
,Gen,Gen,,gej,
,Gende,Gende,,gaf,
,Gengle,Gengle,,geg,
,Gepo,Gepo,,ygp,
,Gera,Gera,,gew,
,Gerai,Gerai,,gef,
,German Sign Language,German Sign Language,,gsg,
,Geruma,Geruma,,gea,
,Geser-Gorom,Geser-Gorom,,ges,
,Ghadamès,Ghadamès,,gha,
,Ghanaian Pidgin English,Ghanaian Pidgin English,,gpe,
,Ghanaian Sign Language,Ghanaian Sign Language,,gse,
,Ghandruk Sign Language,Ghandruk Sign Language,,gds,
,Ghanongga,Ghanongga,,ghn,
,Ghari,Ghari,,gri,
,Ghayavi,Ghayavi,,bmk,
,Gheg Albanian,Gheg Albanian,,aln,
,Ghera,Ghera,,ghr,
,Ghodoberi,Ghodoberi,,gdo,
,Ghomara,Ghomara,,gho,
,Ghomálá',Ghomala,,bbj,
,Ghotuo,Ghotuo,,aaa,
,Ghulfan,Ghulfan,,ghl,
,Giangan,Giangan,,bgi,
,Gibanawa,Gibanawa,,gib,
,Gidar,Gidar,,gid,
,Giiwo,Giiwo,,kks,
,Gikyode,Gikyode,,acd,
,Gilaki,Gilaki,,glk,
,Gilbertese,Gilbertese,,gil,
,Gilima,Gilima,,gix,
,Gilyak,Gilyak,,niv,
,Gimi (Eastern Highlands),Gimi (Eastern Highlands),,gim,
,Gimi (West New Britain),Gimi (West New Britain),,gip,
,Gimme,Gimme,,kmp,
,Gimnime,Gimnime,,gmn,
,Ginuman,Ginuman,,gnm,
,Ginyanga,Ginyanga,,ayg,
,Girawa,Girawa,,bbr,
,Girirra,Girirra,,gii,
,Giryama,Giryama,,nyf,
,Githabul,Githabul,,gih,
,Gitonga,Gitonga,,toh,
,Gitua,Gitua,,ggt,
,Gitxsan,Gitxsan,,git,
,Giyug,Giyug,,giy,
,Gizrra,Gizrra,,tof,
,Glaro-Twabo,Glaro-Twabo,,glr,
,Glavda,Glavda,,glw,
,Glio-Oubi,Glio-Oubi,,oub,
,Gnau,Gnau,,gnu,
,Goan Konkani,Goan Konkani,,gom,
,Goaria,Goaria,,gig,
,Gobasi,Gobasi,,goi,
,Gobu,Gobu,,gox,
,Godié,Godié,,god,
,Godwari,Godwari,,gdx,
,Goemai,Goemai,,ank,
,Gofa,Gofa,,gof,
,Gogo,Gogo,,gog,
,Gogodala,Gogodala,,ggw,
,Gokana,Gokana,,gkn,
,Gola,Gola,,gol,
,Golin,Golin,,gvf,
,Golpa,Golpa,,lja,
,Gondi,Gondi,,gon,
,Gone Dau,Gone Dau,,goo,
,Gongduk,Gongduk,,goe,
,Gonja,Gonja,,gjn,
,Goo,Unknown language [gov],,gov,
,Gooniyandi,Gooniyandi,,gni,
,Gor,Gor,,gqr,
,Gorakor,Gorakor,,goc,
,Gorap,Gorap,,goq,
,Goreng,Goreng,,xgg,
,Gorontalo,Gorontalo,,gor,
,Gorovu,Gorovu,,grq,
,Gorowa,Gorowa,,gow,
,Gothic,Gothic,,got,
,Goundo,Goundo,,goy,
,Gourmanchéma,Gourmanchéma,,gux,
,Gowlan,Gowlan,,goj,
,Gowli,Gowli,,gok,
,Gowro,Gowro,,gwf,
,Gozarkhani,Gozarkhani,,goz,
,Grangali,Grangali,,nli,
,Grass Koiari,Grass Koiari,,kbk,
,Grebo,Grebo,,grb,
,Greek Sign Language,Greek Sign Language,,gss,
,Green Gelao,Green Gelao,,giq,
,Grenadian Creole English,Grenadian Creole English,,gcl,
,Gresi,Gresi,,grs,
,Groma,Groma,,gro,
,Gronings,Gronings,,gos,
,Gros Ventre,Gros Ventre,,ats,
,Gua,Gua,,gwx,
,Guadeloupean Creole French,Guadeloupean Creole French,,gcf,
,Guahibo,Guahibo,,guh,
,Guajajára,Guajajára,,gub,
,Guajá,Guajá,,gvj,
,Guambiano,Guambiano,,gum,
,Guana (Brazil),Guana (Brazil),,gqn,
,Guana (Paraguay),Guana (Paraguay),,gva,
,Guanano,Guanano,,gvc,
,Guanche,Guanche,,gnc,
,Guanyinqiao,Guanyinqiao,,jiq,
,Guarayu,Guarayu,,gyr,
,Guarequena,Guarequena,,gae,
,Guatemalan Sign Language,Guatemalan Sign Language,,gsm,
,Guató,Guató,,gta,
,Guayabero,Guayabero,,guo,
,Gudang,Gudang,,xgd,
,Gudanji,Gudanji,,nji,
,Gude,Gude,,gde,
,Gudu,Gudu,,gdu,
,Guduf-Gava,Guduf-Gava,,gdf,
,Guerrero Amuzgo,Guerrero Amuzgo,,amu,
,Guerrero Nahuatl,Guerrero Nahuatl,,ngu,
,Guevea De Humboldt Zapotec,Guevea De Humboldt Zapotec,,zpg,
,Gugadj,Gugadj,,ggd,
,Gugu Badhun,Gugu Badhun,,gdc,
,Gugu Warra,Gugu Warra,,wrw,
,Gugubera,Gugubera,,kkp,
,Guhu-Samane,Guhu-Samane,,ghs,
,Guianese Creole French,Guianese Creole French,,gcr,
,Guibei Zhuang,Guibei Zhuang,,zgb,
,Guiberoua Béte,Guiberoua Béte,,bet,
,Guibian Zhuang,Guibian Zhuang,,zgn,
,Guinea Kpelle,Guinea Kpelle,,gkp,
,Guinea-Bissau Sign Language,Unknown language [lgs],,lgs,
,Guinean Sign Language,Guinean Sign Language,,gus,
,Guiqiong,Guiqiong,,gqi,
,Gujari,Gujari,,gju,
,Gula (Central African Republic),Kristang,,kcm,
,Gula (Chad),Gula (Chad),,glu,
,Gula Iro,Gula Iro,,glj,
,Gula'alaa,Gula'alaa,,gmb,
,Gulay,Gulay,,gvl,
,Gule,Gule,,gly,
,Gulf Arabic,Gulf Arabic,,afb,
,Gumalu,Gumalu,,gmu,
,Gumatj,Gumatj,,gnn,
,Gumawana,Gumawana,,gvs,
,Gumuz,Gumuz,,guk,
,Gun,Gun,,guw,
,Gundi,Gundi,,gdi,
,Gunditjmara,Gunditjmara,,gjm,
,Gundungurra,Gundungurra,,xrd,
,Gungabula,Gungabula,,gyf,
,Gungu,Gungu,,rub,
,Guntai,Guntai,,gnt,
,Gunwinggu,Gunwinggu,,gup,
,Gunya,Gunya,,gyy,
,Gupa-Abawa,Gupa-Abawa,,gpa,
,Gupapuyngu,Gupapuyngu,,guf,
,Guramalum,Guramalum,,grz,
,Gurani,Gurani,,hac,
,Gurdjar,Gurdjar,,gdj,
,Gureng Gureng,Gureng Gureng,,gnr,
,Gurgula,Gurgula,,ggg,
,Guriaso,Guriaso,,grx,
,Gurindji,Gurindji,,gue,
,Gurindji Kriol,Gurindji Kriol,,gjr,
,Gurmana,Gurmana,,gvm,
,Guro,Guro,,goa,
,Gurr-goni,Gurr-goni,,gge,
,Gurung,Gurung,,gvr,
,Guruntum-Mbaaru,Guruntum-Mbaaru,,grd,
,Gusii,Ekegusii,,guz,
,Gusilay,Gusilay,,gsl,
,Guugu Yimidhirr,Guugu Yimidhirr,,kky,
,Guwa,Guwa,,xgw,
,Guwamu,Guwamu,,gwu,
,Guya,Guya,,gka,
,Guyanese Creole English,Guyanese Creole English,,gyn,
,Guyani,Guyani,,gvy,
,Gvoko,Gvoko,,ngs,
,Gwa,Gwa,,gwb,
,Gwahatike,Gwahatike,,dah,
,Gwak,Gwak,,jgk,
,Gwamhi-Wuri,Gwamhi-Wuri,,bga,
,Gwandara,Gwandara,,gwn,
,Gweda,Gweda,,grw,
,Gweno,Gweno,,gwe,
,Gwere,Gwere,,gwr,
,Gwichʼin,Gwichʼin,,gwi,
,Gyalsumdo,Gyalsumdo,,gyo,
,Gyele,Gyele,,gyi,
,Gyem,Gyem,,gye,
,Güilá Zapotec,Güilá Zapotec,,ztu,
,Gāndhārī,Gāndhārī,,pgd,
,Ha,Ha,,haq,
,Habu,Habu,,hbu,
,Hadiyya,Hadiyya,,hdy,
,Hadothi,Hadothi,,hoj,
,Hadrami,Hadrami,,xhd,
,Hadrami Arabic,Hadrami Arabic,,ayh,
,Hadza,Hadza,,hts,
,Haeke,Haeke,,aek,
,Hahon,Hahon,,hah,
,Haida,Haida,,hai,
,Haigwai,Haigwai,,hgw,
,Hainanese,Unknown language [hnm],,hnm,
,Haiphong Sign Language,Haiphong Sign Language,,haf,
,Haisla,Haisla,,has,
,Haitian Vodoun Culture Language,Haitian Vodoun Culture Language,,hvc,
,Haiǁom,Haiǁom,,hgm,
,Haji,Haji,,hji,
,Hajong,Hajong,,haj,
,Hakha Chin,Hakha Chin,,cnh,
,Hakka Chinese,Hakka Chinese,,hak,
,Hakö,Hakö,,hao,
,Halang,Halang,,hal,
,Halang Doan,Halang Doan,,hld,
,Halbi,Halbi,,hlb,
,Halh Mongolian,монгол,,khk,
,Halia,Halia,,hla,
,Halkomelem,Halkomelem,,hur,
,Hamap,Hamap,,hmu,
,Hamba,Hamba,,hba,
,Hamer-Banna,Hamer-Banna,,amf,
,Hamtai,Hamtai,,hmt,
,Hanga,Hanga,,hag,
,Hanga Hundi,Hanga Hundi,,wos,
,Hangaza,Hangaza,,han,
,Hani,Hani,,hni,
,Hano,Hano,,lml,
,Hanoi Sign Language,Hanoi Sign Language,,hab,
,Hanunoo,Hanunoo,,hnn,
,Harami,Harami,,xha,
,Harari,Harari,,har,
,Harijan Kinnauri,Harijan Kinnauri,,kjo,
,Haroi,Haroi,,hro,
,Harsusi,Harsusi,,hss,
,Haruai,Haruai,,tmd,
,Haruku,Haruku,,hrk,
,Haryanvi,हरियाणवी,,bgc,
,Harzani,Harzani,,hrz,
,Hasha,Hasha,,ybj,
,Hassaniyya,Hassaniyya,,mey,
,Hatam,Hatam,,had,
,Hattic,Hattic,,xht,
,Hausa Sign Language,Hausa Sign Language,,hsl,
,Havasupai-Walapai-Yavapai,Havasupai-Walapai-Yavapai,,yuf,
,Haveke,Haveke,,hvk,
,Havu,Havu,,hav,
,Hawai'i Creole English,Hawai'i Creole English,,hwc,
,Hawai'i Sign Language (HSL),Hawai'i Sign Language (HSL),,hps,
,Hawaiian,ʻŌlelo Hawaiʻi,,haw,
,Haya,Haya,,hay,
,Hazaragi,Hazaragi,,haz,
,Hdi,Hdi,,xed,
,Hehe,Hehe,,heh,
,Heiban,Heiban,,hbn,
,Heiltsuk,Heiltsuk,,hei,
,Helong,Helong,,heg,
,Hema,Hema,,nix,
,Hemba,Hemba,,hem,
,Hember Avu,Musar,,mmi,
,Herdé,Herdé,,hed,
,Hermit,Hermit,,llf,
,Hernican,Hernican,,xhr,
,Hewa,Hewa,,ham,
,Heyo,Heyo,,auk,
,Hiberno-Scottish Gaelic,Hiberno-Scottish Gaelic,,ghc,
,Hibito,Hibito,,hib,
,Hidatsa,Hidatsa,,hid,
,Hieroglyphic Luwian,Hieroglyphic Luwian,,hlu,
,Higaonon,Higaonon,,mba,
,Highland Konjo,Highland Konjo,,kjk,
,Highland Oaxaca Chontal,Highland Oaxaca Chontal,,chd,
,Highland Popoluca,Highland Popoluca,,poi,
,Highland Puebla Nahuatl,Highland Puebla Nahuatl,,azz,
,Highland Totonac,Highland Totonac,,tos,
,Hijazi Arabic,Hijazi Arabic,,acw,
,Hijuk,Hijuk,,hij,
,Hiligaynon,Ilonggo,,hil,
,Himarimã,Himarimã,,hir,
,Hinduri,Hinduri,,hii,
,Hinukh,Hinukh,,gin,
,Hittite,Hittite,,hit,
,Hitu,Hitu,,htu,
,Hiw,Hiw,,hiw,
,Hixkaryána,Hixkaryána,,hix,
,Hlai,Hlai,,lic,
,Hlepho Phowa,Hlepho Phowa,,yhl,
,Hlersu,Hlersu,,hle,
,Hmar,Hmar,,hmr,
,Hmong,Hmong,,hmn,
,Hmong Daw,Hmong Daw,,mww,
,Hmong Don,Hmong Don,,hmf,
,Hmong Dô,Hmong Dô,,hmv,
,Hmong Njua,𞄀𞄄𞄰𞄩𞄍𞄜𞄰,,hnj,
,Hmong Shua,Hmong Shua,,hmz,
,Hmwaveke,Hmwaveke,,mrk,
,Ho,Ho,,hoc,
,Ho Chi Minh City Sign Language,Ho Chi Minh City Sign Language,,hos,
,Ho-Chunk,Ho-Chunk,,win,
,Hoava,Hoava,,hoa,
,Hobyót,Hobyót,,hoh,
,Hoia Hoia,Hoia Hoia,,hhi,
,Holikachuk,Holikachuk,,hoi,
,Holiya,Holiya,,hoy,
,Holma,Holma,,hod,
